Tweet,Label
" euedsonduarte lilovlog jairbolsonaro exatamente. aguardem. sinceramente, eua e maioria dos paises estao uns dois meses atrasados na prevencao dessa pandemia. as pessoas estao entrando em panico pq cdcglobal orientou a apenas aplicar teste p detectar coronavirus s o paciente visitou china mas os novos casos ja dem ",0.0
a china fecha o primeiro laboratorio do mundo a publicar o genoma do novo coronavirus gt,0.0
janeiro china mente sobre a de mortos nos casos de coronavirus. nao e somente . . talvez passe de . marco italia tem de mortos nos casos de coronavirus. italia tambem mente?,0.0
nivel de poluicao na china cai drasticamente apos epidemia de coronavirus. diminuicao de emissoes esta ligada a desaceleracao economica. ,0.0
" eikebatista os que cruzam os oceanos trazem um volume muito menor de cargas. o responsavel pela lacuna e o coronavirus. apos frear viagens de negocios entre br e china, o virus comeca a comprometer a logistica de abastecimento de cadeias de suprimentos entre os dois paises.",0.0
"china, mas apenas falei que precisaria acabar esta onda do coronavirus. bem. todos os galhos das arvores que tinham contato com nossas fiacoes de eletricidade e telefone foram cortados por esses jardineiros. mas enquanto que eu estava dentro da bj, parece que quando cortou um",0.0
industria da china tem pior desempenho da historia com avanco do coronavirus estadao ,0.0
" viniciu medico nao fica alegre com ninguem doente. e medicos tambem morrem ao serem expostos ao coronavirus, como qualquer outra pessoa. na china, quase mil medicos foram infectados, com mais de uma dezena de mortos.",0.0
 luispedro ou pelo soares m ja nem pra china devido ao coronavirus,0.0
"quem pagara as despesas medicas das dezenas de americanos q o governo trouxe de volta para os eua de wuhan, na china, e colocados em quarentena para verificar sinais de coronavirus... pensem num pais sem o sus, pensaram? entao vamos defender o sus!!! ",0.0
a teoria da conspiracao de hoje ta sendo a china criou o coronavirus pra reduzir a populacao,1.0
" coronavirus nenhum deles sera poupado! pode ter certeza! os chineses sao mais competentes e nao contiveram a epidemia, acha mesmo que esse bando de ratazana vai fazer algo?! vao agonizar como todo o resto! ",0.0
"se la na china o negocio ta daquele jeito por conta do coronavirus, imagine se o virus se espalhar aqui, la pelo menos eles tem uma puta tecnologia e servicos excelente de prevencao, se chegar aqui com forca eu tenho ate medo",0.0
"o lancamento de mulan na china foi adiado por tempo indeterminado, por conta dos inumeros casos de coronavirus no pais. o filme foi produzido objetivando agradar o mercado chines, respeitando a sua cultura, inclusive modificando aspectos da animacao. ",0.0
carta publicada em revista cientifica descreve pessima situacao de medicos que tratam coronavirus na china ,0.0
coronavirus poluicao na china baixa drasticamente ,0.0
" elyems sitemawinner ha uma queda depois de tanto crescimento economico na china, mas quem afirma que o coronavirus pode abalar gravemente a economia global sao economistas, analistas, nao eu. eles e tendem o que falam e eu concordo com a analise deles. elyems",0.0
"a china continental registrou novas infeccoes por coronavirus em de fevereiro, ante no dia anterior, pelo maior aumento diario em uma semana, disseram autoridades nacionais de saude neste domingo.",0.0
"coronavirus poluicao na china cai drasticamente apos epidemia e a primeira vez que vejo uma queda tao dramatica em uma area tao ampla para um evento especifico , disse fei liu, pesquisadora de qualidade do ar no goddard space flight center da nasa ",0.0
sem comentarios - video - pastor diz que china deve aceitar jesus para se livrar do coronavirus a praga vai parar ,1.0
"da china aos estados unidos, passando pela italia, o surto do coronavirus e potencializado por outra epidemia do nosso tempo a contaminacao da politica pela religiao e da gestao do setor publico pela ideologia... estadao coronavirus china eua italia",0.0
coronavirus imagens da nasa mostram diminuicao da poluicao na china ,0.0
 biakicis gleisi vai para china sua coronavirus la e seu lugar.,1.0
"o coronavirus provocou desaceleracao da atividade industrial da china e, consequentemente, uma queda vertiginosa do lancamento de gases poluentes na atmosfera. esta imagem divulgada pela nasa compara os indices antes e depois do surto do -ncov ",0.0
"apos coronavirus, nivel de poluicao na china despenca china poluicao coronavirus ",0.0
"rapaz, e eu pensando que o preocupante do coronavirus era a economia da china desligar. se essa epidemia nao contida no estado de washington, nos eua, estourar, vai ser um show",0.0
mundo - china regista mais mortes por coronavirus. ha novos casos ,0.0
covid- - o numero oficial de mortos e agora de china - irao - italia - coreia do sul - japao do diamond princess - franca - hong kong regiao administrativa especial chinesa - filipinas - taiwan - eua - australia - tailandia - ,0.0
imagens de satelite divulgadas pela nasa mostram uma queda drastica nos niveis de poluicao da china apos o surto de coronavirus. baixe o nosso aplicativo para mais noticias! android ios ,0.0
nivel de poluicao na china cai drasticamente apos epidemia de coronavirus ,0.0
"transplante duplo de pulmoes bem sucedido na china, para paciente de anos em tratamento do coronavirus. tempos de crise podem acelerar a evolucao de tecnicas e tratamentos alternativos. ",0.0
coronavirus imagens da nasa mostram queda da poluicao na china em meio ao surto ,0.0
" vic walker fur fles rlossurdo oatila o que nao garante que o virus nao esteja circulando para cowling, e possivel que o coronavirus ja esteja circulando entre os brasileiros. pesquisa do center for global infectious disease analysis apontou que dois em cada tres casos de viajantes vindos da china com o virus nao ",0.0
 niko cellbit a unica maneira de vencer o coronga virus e o coronavirus. pq so o morcego pode derrotar o coronga.,0.0
"se a covid- e similar a gripe comum, por que as autoridades da china tomaram medidas de contencao tao drasticas? essa e outras boas perguntas respondidas pelo presidente do einstein! ",0.0
"melhor explicacao - coronavirus e igual macarrao os chineses inventaram, mas os italianos espalharam pelo mundo.",1.0
imagens de satelite da nasa mostram impacto do coronavirus na reducao de poluicao na china - mundo - correio da manha ,0.0
"c a china enviar coronavirus pra ca, enviaremos flamenguistas p la praga contra praga",1.0
"com medo do coronavirus, iranianos atearam fogo em hospital com pacientes que supostamente estariam com a doenca. o ira e o pais com mais mortes por coronavirus depois da china ira coronavirus doenca saude violencia fogo incendio ciencia mundo ",0.0
coronavirus mostra o poder do made in china. ta faltando suprimentos pra industria em todo plano mundial da terra,1.0
"parte continental da china reporta novos casos confirmados de infeccao pelo novo coronavirus casos confirmados no continente chines chegou a . no sabado, incluindo . pacientes em tratamento, . com alta hospitalar e . que morreram ",0.0
