,text,labels
1829,vou ter que comprar esse celular da china com cameras tbm meu iphone ta com coronavirus se travando,1.0
24180," itlorocha gleisi voces querem colocar as morte das pessoas do covid nas costas do bolsonaro, e tirar das costas da china que foi a responsavel, dos governantes dos estados, e prefeitos.",0.0
24058,pura estrategia para forcar a reducao do preco pago pela carne bovina!! ---china suspende importacoes de carne brasileira por temor de covid- - o antagonista ,0.0
12177," o colecionador e o pior, a grande midia brasileira divulga noticias chinesas sem questionar. essa semana noticiaram em massa que o brasil ultrapassou a china em numeros de obitos relativos ao covid. e da pra acreditar nos dados chineses??? e revoltante a omissao da imprensa.",0.0
8666,"china impoe restricoes a publicacao de pesquisas academicas sobre a origem do coronavirus, diz relatorio - terca livre tv ",0.0
13031,"china acelera producao de vacina contra coronavirus, mas farmaceuticas do pais tem historico de corrupcao e ineficacia - o globo via googlenews",0.0
18730,volta e meia alguem chega pra mim e diz que o coronavirus foi criado pelos chineses para abalar a economia mundial. so queria que as pessoas entendessem que um virus consegue ser mais evoluido e inteligente do que os mais de bilhoes de habitantes do planeta terra...,0.0
22639,"voce ja parou para pensar sobre coleta de lixo na china? o topico ja surgiu na news, quando tornou-se obrigatoria a coleta seletiva em xangai. mas o novo coronavirus e o aumento de entregas apresenta um desafio para a gestao de residuos no pais. ",0.0
2938," um discurso do presidente da china, xi jinping, feito no dia de fevereiro e publicado pela midia estatal no sabado indica, pela primeira vez, que ele estava no comando do combate ao surto do covid- , o coronavirus, desde o principio e nao deu alerta mas incisivo ao .",0.0
10964,todo mundo fala q a culpa e dos chineses q o voto do povo q decide quem vai mandar aqui no brasil apois sinto muitokkkk a elite q escolhe quem eles querem no poder o coronavirus foi uma doenca criada para afetar boa parte da populacao pobre entao ne...,0.0
22176, covid segunda onda na china? - com dr. marcelo lima via youtube jairbolsonaro,0.0
17787,"o presidente dos eua, donald trump, declarou em todo o mundo, o coronavirus, um presente muito ruim da china, segue marchando. nada bom! ",0.0
3741, egaaraae nem fala! e um puta viver entorno do seu umbigo culpar a china por causa do covid- . e o cumulo do absurdo e sem falar que e extremamente xenofobico!,0.0
18063," lindomaroo profpaulamarisa a china comunista prepara um novo ataque a humanidade, o srv-cov- , uma versao mais potente e letal do covide . suspeita da cia. eua rompe com a oms e prepara retaliacoes a china. ha suspeita que o novo covid - circula na correa.",0.0
13090,trump queremos que a china seja transparente sobre coronavirus. assunto foi abordado em entrevista ,0.0
20990,covid- china ordena confinamento de urgencia de onze bairros de pequim ,0.0
7987,reaberto epicentro do covid . vai uma sopa de morcego ai? ,1.0
11954," asia malasia diplomacia do coronavirus vem estreitando lacos entre malasia e china, mas mascara tensoes recentes no mar do sul da china. na regiao, ha uma forte disputa sobre a extensao das fronteiras maritimas para exploracao. via stcom ",0.0
23742," kevingervasoni essa suspensao e uma piada, feita pelo ms para afagar os chineses, como se coronavirus fosse sobreviver dentro de containers frigorificos por semanas ate chegar na china, haha, tem que ser mto ingenuo para acreditar nessa possibilidade.",0.0
3235," henriquepnunes igorholmes henrique, eu concordo contigo. em paises em que estao faltando medicos eles estao chamando aposentados e internos de medicina para ajudar no combate ao covid- . na china, nao foram poucos os relatos de medicos sobrecarregados. se a situacao apertar por aqui, e so questao de temp",0.0
